Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_299.jpg;0;1;0;1.78808;101.9676;89.04321;1.277519;55.9927;-0.001065347
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_366.jpg;0;1;0;1.833606;102.0506;89.16507;1.281887;55.97861;-0.00107912
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_433.jpg;0;1;0;1.878978;102.1146;89.25912;1.286592;55.96748;-0.001089476
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_500.jpg;0;1;0;1.93862;102.1802;89.35538;1.291229;55.95638;-0.001111282
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_567.jpg;0;1;0;1.983676;102.27;89.48718;1.297257;55.94105;-0.001143736
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_633.jpg;0;1;0;2.028577;102.3392;89.58858;1.299178;55.92984;-0.001149021
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_699.jpg;0;0.8998246;0;2.088113;102.4098;89.69216;1.301395;55.91947;-0.001161378
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_766.jpg;0;0.70135;0;2.125762;102.5059;89.83297;1.298406;55.90705;-0.0006381461
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_832.jpg;0;0.5006453;0;2.153921;102.5791;89.94002;1.295857;55.8944;-0.0006005432
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_900.jpg;0;0.3011315;0;2.1759;102.6525;90.04756;1.27605;55.88079;-0.0005528221
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_44_966.jpg;0;0.1006463;0;2.181641;102.7503;90.19059;1.200433;55.86266;-0.0004498507
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_033.jpg;0;0;0;2.178987;102.8231;90.29699;1.098917;55.84978;-0.0003728208
C:\Users\RKTHINKPAD\Documents\Repos\Python Projects\Robotics\recorded_dataset\IMG\robocam_2018_01_24_21_17_45_099.jpg;0;0;0;2.170335;102.8953;90.40257;0.9645278;55.83744;-0.0002121395
